sampn,number_of_vehicles,number_of_workers,count_of_licensed_drivers,list_of_licensed_drivers,accvar1,accvar2,accvar3,accvar4,number_of_part_time_workers,count_of_household_members_over_75,at_least_as_many_cars_as_workers,part_time_workers_per_drivers,greater_than_75_yr_old_per_drivers,number_of_university_students_per_driver,licensed_drivers_under_18_per_driver,children_under_5_per_driver,list_of_income_level,logsum_full_time_worker_under_30k,logsum_students,distance_from_transit_stop_variable
7037909,4,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5
6051584,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
6051585,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
8017666,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6010686,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6076716,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6084364,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8017680,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7001876,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084373,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5
6018839,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6084377,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6084383,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
6060336,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7034659,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9131816,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
5035817,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5035818,4,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084396,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
7001902,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051633,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6051634,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8017715,4,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7037441,0,1,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6084405,3,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7003194,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
7001917,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6117183,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6018881,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051651,4,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051652,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6011190,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7001926,3,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084425,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051659,2,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2
6051663,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
5033036,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1
5035857,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
6071267,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9131860,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5035861,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6018903,4,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,1,0,0.333333333,0,0,0,0
7001944,0,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
8004580,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5035866,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
6084445,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6051679,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7043387,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6018917,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7001958,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6051687,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8026428,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7001962,2,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8004583,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8017772,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
6051698,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6084472,4,3,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,1,0,0.333333333,0,0,0,0
8017785,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084478,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1
6051713,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8017795,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7034760,2,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6018953,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7001997,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
9131918,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6117263,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9099152,0,0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6051731,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6051732,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6084502,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
7034775,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
9124164,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6018972,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
7002014,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6051743,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9131938,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
8017827,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8017828,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
6051752,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6018987,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6073558,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7002029,4,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
8017838,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002031,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6018995,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051764,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5017246,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,4,0,2,0,0,2
6051766,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6051774,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5035967,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6117315,3,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019012,4,3,4,"[0, 0, 0, 1]",0,0,0,1,1,1,1,0,0,1,0,0.25,0,0,0,0
6051789,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6084558,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051791,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
8017872,3,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051794,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
7002067,2,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6054905,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,1
6051802,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0
6019035,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051807,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6019040,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8003097,3,3,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0.333333333,0
6084584,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002089,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6117354,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,1,0,0.5,0,0,0.5
7067629,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7002097,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
6084594,5,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
9132019,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6051836,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6051838,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051840,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051842,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,2,0.5,1,0,0,1
5036037,4,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6019079,4,4,4,"[0, 0, 0, 1]",0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
5036040,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002123,3,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6019086,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6051855,2,3,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002129,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6084626,3,3,4,"[0, 0, 0, 1]",0,0,0,1,1,1,1,0,1,1,0,0.25,0,0.25,0,0
7002131,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6117399,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051864,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6051867,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6054917,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6084640,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6051874,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5
6084643,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1
7034918,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6051882,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5
6051884,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
6051886,3,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6076765,1,0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8017969,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
9132082,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7034931,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002164,3,3,4,"[0, 0, 0, 1]",0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.25,0
8017973,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051895,4,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,2,0,0.666666667,0,0.333333333,0,0
7034938,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8017979,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7002173,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6015061,1,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002175,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5036096,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
6117441,0,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
6084675,1,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5036103,3,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,1,0,0.333333333,0,0,0,0
5022133,2,1,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,1,0,0.333333333,0,0,0,0
6051918,3,3,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
7002193,4,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
9132117,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
7034805,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051928,2,3,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
6082234,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6084703,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
7005200,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5036132,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5036133,5,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9132135,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051944,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
7034987,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6077257,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002227,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9132148,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7035001,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5036154,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
6084736,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5036162,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084739,2,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7002245,3,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.333333333,0
7002248,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6084745,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
9132170,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6051981,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6084753,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6051986,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7002262,5,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6084759,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
7002266,3,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6019227,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5
5017285,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6019232,4,1,4,"[0, 0, 0, 1]",0,0,0,1,1,1,1,0,0,0,0,0,0,0.25,0,0
5036194,2,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
